Nom,Descripcio,Preu,Estoc,SKU,IMG,Categoria,Destacat
J'adore (Dior),"Un aroma floral con toques de rosa y jazmín.",29.99,50,p001,/public/img/prod1.jpg,florales,true
Acqua di Gio (Armani),"Notas vibrantes de limón, naranja y bergamota.",24.50,120,p002,/public/img/prod2.jpg,cítricos,true
Shalimar (Guerlain),"Calidez y misterio con ámbar y vainilla.",34.75,30,p003,/public/img/prod3.jpg,orientales,true
CK One (Calvin Klein),"Aroma fresco con hojas verdes y menta.",21.00,85,p004,/public/img/prod5.jpg,verdes,false
La Vie Est Belle (Lancôme),"Mezcla deliciosa de frutas rojas y melocotón.",26.30,15,p005,/public/img/prod6.jpg,frutales,false
Terre d'Hermès (Hermès),"Toques profundos de cedro y sándalo.",39.99,40,p006,/public/img/prod4.jpg,amaderados,true
Poême (Lancôme),"Aroma suave y delicado de azahar y lirio.",22.15,60,p007,/public/img/prod7.jpg,florales,false
Green Tea (Elizabeth Arden),"Fragancia fresca y ligera con notas de té verde.",27.50,90,p008,/public/img/prod8.jpg,verdes,false
Givenchy Irresistible,"Dulce y afrutado con un toque de frescura.",25.00,110,p009,/public/img/prod9.jpg,frutales,false
One Million (Paco Rabanne),"Mezcla exótica de especias y maderas.",38.50,25,p010,/public/img/prod10.jpg,orientales,false
